?make,model,year,vin
Ford,Edge,2011,WAUFGBFB7AN166463
Fiat,Nuova 500,2012,5NPET4ACXAH676408
Lincoln,Navigator,2004,WBAKX8C59BC343222
Volkswagen,Quantum,1984,1FMJU1G53AE852646
Lamborghini,Diablo,1996,5GADV33L95D511489
Toyota,Corolla,2001,1G6DH577580746436
Acura,TSX,2008,5NPEB4AC8DH896315
GMC,Vandura 1500,1993,2C3CDXCT5CH358683
GMC,Savana 3500,2000,JHMZE2H38CS431423
Audi,A8,2007,WAULD54B03N515787
Pontiac,Grand Prix,1969,WBA3D3C52FK956441
Pontiac,GTO,1967,WDDNG7BB2AA343080
Nissan,Frontier,1999,SCBBR9ZAXDC402873
Ford,LTD Crown Victoria,1989,WAUVT54B94N346186
Subaru,Alcyone SVX,1992,WBAYF4C5XDD378225
Pontiac,LeMans,1992,5UXZV4C56D0786141
Ford,Crown Victoria,2000,SCBLC37F55C320875
Chevrolet,Monte Carlo,2003,1G4PP5SK9E4872050
Hummer,H1,2006,1D7CW3BK0AS320989
Pontiac,Grand Am,1998,SCBBR9ZA4DC475561
Kia,Optima,2003,WA1DGAFP7EA201820
Honda,CR-V,1999,3GYFK66N76G795007
GMC,Vandura 3500,1992,WAUMF78P96A269205
Toyota,Echo,2001,WA1AGAFE4CD732146
Dodge,Dakota Club,1996,1GTN1TEH2EZ141173
Ford,F350,2009,1G6KD57Y31U769787
Chevrolet,Suburban 2500,1992,WAUAFAFH2DN929859
Mazda,Tribute,2004,SCFAD02A18G738165
Pontiac,Aztek,2002,1FMJU1F56AE400028
Mazda,MPV,1996,3D7TT2CT6AG751984
BMW,5 Series,2009,1G6AC5S38E0328342
Lexus,GS,1994,WUARL48H78K173971
Pontiac,Grand Prix,2007,SCBEC9ZA4EC483692
Ford,Freestyle,2007,WAULC68E85A817335
Bentley,Continental Super,2011,ZHWGU5BR5EL350278
Mercury,Topaz,1992,WBAXA5C59ED479886
Nissan,Pathfinder Armada,2004,5TFBY5F18DX766117
Infiniti,G,2007,SCBCP7ZAXAC492889
Mercedes-Benz,E-Class,1988,TRUWC28N321498744
Acura,MDX,2003,2HNYD18854H116328
Chevrolet,Corvette,2001,5LMCJ1A98FU797461
Ford,F150,1999,1G6AB5S35D0865204
Infiniti,Q,1997,WBAYB6C50FD501492
Mercedes-Benz,CL-Class,1998,1GKUCEEF8AR294350
Mercury,Milan,2007,WAUFFAFL5EN450833
Mazda,MPV,1998,YV140MAB5F1994831
Toyota,Camry,2005,WAUFGBFB6BN396562
Kia,Spectra5,2006,3C4PDDAG3ET301250
Ford,Mustang,1972,W04GZ5GV6B1819069
Volkswagen,GTI,2011,SCBLC47J29C868817
Volkswagen,New Beetle,1999,WBAUP93529V499065
GMC,Savana 2500,2003,JTHFE2C21F2614524
Honda,S2000,2000,NM0KS9BN0BT715889
Kia,Sorento,2013,WUAUUAFG1CN260692
Mercedes-Benz,W201,1987,1C3BC6EV5AN595010
Mercedes-Benz,E-Class,1984,JN8AS5MT8AW379512
Chrysler,LHS,1997,19VDE2E52DE398031
Porsche,968,1994,JH4NA12605S393227
Volkswagen,New Beetle,2005,5TDBK3EH1BS544025
Dodge,Journey,2011,3GYFNEE34CS326449
Plymouth,Prowler,1997,1G4HR54K414582935
Pontiac,Trans Sport,1999,KNAGM4AD2C5546945
Aston Martin,V8 Vantage,2008,WBSKG9C51DJ312949
Volvo,S80,2009,WA1WGAFP9DA713330
Cadillac,CTS,2007,3D7JB1ETXBG281848
Nissan,Xterra,2008,WA1LGAFE5ED055006
Honda,Ridgeline,2009,1G6KY54912U139429
Hyundai,Tiburon,2004,4T1BK1EB0EU749301
Saab,9000,1995,WA1LMAFE7AD843028
Ford,Ranger,2002,1G6DU6ED1B0921492
Chevrolet,Impala,1996,1G6KF54932U076548
Toyota,4Runner,1997,3GYFNCEY5AS501157
Volvo,C70,2002,3C4PDDDG9ET303192
Chevrolet,S10,2002,SCBLE37G06C539151
Chevrolet,Camaro,1978,1G6DA67V990340072
BMW,5 Series,2007,YV440MBC4F1140889
Lincoln,MKZ,2009,WDDGF4HB7ER517623
Dodge,Ram 2500,2008,3D7TP2CT7AG526042
Toyota,FJ Cruiser,2011,WBAKE3C54DE919184
Infiniti,Q,1995,5N1AR2MM8FC660163
Lexus,RX,2013,WAUFEBFM5CA148867
Hyundai,Elantra,2000,WAU3MAFD2FN760666
Volvo,V70,2009,WBANU53598C429580
Chevrolet,Express 2500,2008,WBA5M2C58ED233196
GMC,1500 Club Coupe,1992,3D73Y4CL1BG641116
Infiniti,G,2005,2G4WN58CX91496641
Dodge,Stratus,1996,1FTWX3B50AE198323
Chevrolet,Monte Carlo,2005,2G61M5S31F9285306
Mitsubishi,Mirage,2001,5UXZW0C51C0789551
Maserati,430,1990,JM3TB2BAXB0347919
Bentley,Continental GTC,2010,SAJWA4EC5BM632426
Acura,NSX,1998,5GAKVAKD1EJ029980
Ford,Thunderbird,2003,5N1AT2MK9EC722877
Toyota,Avalon,1995,KNADH4A32B6232834
BMW,X5 M,2012,WBSDE93432C437121
Lexus,SC,2007,4T1BF3EKXBU061222
Nissan,Quest,2006,1G4HE57Y98U656209
BMW,X5,2013,JH4CW2H6XEC106220
BMW,600,1957,JTDKDTB39E1052301
Nissan,Pathfinder,1993,1FTWW3CY9AE977747
Volkswagen,GTI,1990,JTDKN3DU8A0447055
Volkswagen,Passat,1998,3C63DPKL0CG412752
Dodge,Ram 1500,2008,3C3CFFHH0ET682577
Jaguar,XK Series,1999,JH4DC54825S771379
Audi,100,1990,JTEBU5JRXC5248881
Toyota,4Runner,1997,YV1612FS6E1874196
Chevrolet,2500,1992,WBSBL93435P074250
Pontiac,Solstice,2008,WA1DKAFP3BA882195
Volkswagen,Golf,1994,JN8AZ1MU1EW429086
Pontiac,Grand Prix,1999,WBANA73575C432283
Plymouth,Prowler,2000,WAUML44E56N979254
Chevrolet,Express 1500,1996,JM3TB2BA0C0293144
Cadillac,DTS,2009,1C3CCBBB7DN787542
Chevrolet,Suburban 1500,2003,WBALW3C55DC055839
Buick,Riviera,1996,19UUA8F77DA061476
Land Rover,Range Rover Sport,2012,1N6AD0CUXCC982904
GMC,Canyon,2005,1FTFW1E82AF432226
Mazda,Mazdaspeed6,2006,1GYFK43878R362695
Mazda,Miata MX-5,2001,WDDLJ7DB9DA403947
Honda,Pilot,2010,2C3CDZAT4FH258772
Hyundai,Santa Fe,2007,WUARL48H89K144531
Land Rover,Range Rover Evoque,2012,1YVHZ8BH0A5823410
Pontiac,6000,1987,2G61N5S36D9559383
Chrysler,PT Cruiser,2008,3GYFNDE34CS797933
GMC,Savana 2500,1997,WBABD33474J808310
Isuzu,Rodeo,2002,WAUKD98P16A234957
Daewoo,Lanos,2001,2T1KU4EE5DC152327
Mercury,Marauder,2004,JH4NA12664T292900
Ford,Aerostar,1995,JN8AZ1MU4DW124311
