?make,model,year,vin
Chevrolet,Colorado,2009,WBAKE5C52BE206874
Buick,Century,1987,2G4WC582361806993
Dodge,Avenger,2000,WBAPM73549E332510
Dodge,Intrepid,2002,WAUGL78E95A466829
Hyundai,Tucson,2011,JN1CV6EK1DM713325
Acura,Vigor,1993,5LMJJ2H54CE009281
Plymouth,Grand Voyager,1992,5TFAW5F1XEX090336
Nissan,Pathfinder,2009,WBABD33414J659330
Lincoln,MKX,2013,WAUHF68P36A616863
Pontiac,Grand Prix,1975,1GYEC63897R284181
BMW,5 Series,2003,1HGCR6F34FA973569
Toyota,Camry Hybrid,2010,WA1DGAFE9DD829888
Ferrari,458 Italia,2010,5GNRNHEE2A8491279
Hummer,H1,1995,JHMGE8G30CC780839
Chevrolet,Silverado,2011,WBAPH73589A743078
Pontiac,Grand Prix,2002,19UYA42411A692063
Dodge,Caravan,2000,WAUBGAFB2AN313359
Hyundai,Elantra,2009,KMHTC6AD1EU115615
Bentley,Continental GT,2009,1GKS1CE09ER231633
GMC,Savana 2500,2000,WBADX1C54CJ285369
Plymouth,Laser,1992,JA32X8HW6AU507070
Hyundai,Excel,1992,KMHTC6AD8EU686485
Chrysler,Voyager,2001,1N4AL2APXBC442164
Audi,RS 6,2003,1G6AB5S32F0906777
Porsche,Boxster,2011,KL4CJESB7FB607963
Ford,Crown Victoria,2000,5TDDCRFH5ES152399
BMW,Z4,2010,2G4GU5GV0D9093367
Mazda,Protege5,2002,1G6DV5EP2D0488429
Ford,Econoline E350,1992,SAJWA0FA4AH709283
Ford,Excursion,2005,3GYFK12229G166788
Mercedes-Benz,SL-Class,1984,5N1AT2MK1EC893767
Oldsmobile,Cutlass Supreme,1996,WBA3N7C54FK107061
Nissan,Maxima,2004,1FTSW2A59AE000657
Ford,Fairlane,1965,2C3CCAPT4CH437613
Nissan,NX,1993,WBA3C1C54CA098155
Mitsubishi,Chariot,1992,5GTMNGEEXA8073940
Cadillac,DeVille,1999,SCFEBBCF9CG438833
Mazda,929,1992,5GADV23L06D846233
Dodge,Intrepid,1999,WAUJC68E54A109534
Toyota,Matrix,2003,WDDGF4HB8DR714489
GMC,2500 Club Coupe,1992,2G4WB55K411347019
Honda,Pilot,2003,WVGAV7AX2CW583288
Mazda,B-Series Plus,1993,1C4AJWAG2FL388789
Pontiac,Trans Sport,1990,5UXFG2C59BL084795
BMW,X5,2004,2B3CJ5DT8BH130717
Buick,Century,2003,WBAGL63564D173517
Mercedes-Benz,C-Class,2010,WA1YL54B54N535282
Chevrolet,Lumina,1992,JN8CS1MU9EM738927
Ford,Festiva,1993,WVWAN7AN1DE244581
Chevrolet,HHR,2006,1FTEW1E85AK012219
Porsche,Boxster,1997,YV4852CT5A1984678
Chevrolet,Malibu,1998,1FTEW1CF1FK231672
Saab,900,1990,1G4GB5ER8CF795440
Hyundai,Tucson,2006,WAUML54B63N143234
Ford,E-Series,2007,5J8TB3H32EL509280
Chevrolet,Astro,1997,WBSBL93414J594089
Suzuki,SJ,1993,WBALW3C54DC088847
Porsche,944,1988,JN1BY1PP7FM464756
Ford,Windstar,1997,WBAWB7C57AP194598
Chevrolet,Caprice,1983,WBANV93529C342464
Honda,CR-V,2004,WBA6B2C56FD812215
Chevrolet,Camaro,2010,WBAAV53431J502026
Mitsubishi,Mirage,1989,3C3CFFAR5DT795717
Volvo,S70,1998,3FA6P0LU0DR659602
Honda,Prelude,1986,1GYS3MKJ7FR941148
Pontiac,Trans Sport,1997,JM3TB2MA2A0243761
GMC,Savana 3500,1996,1N6AA0EC7FN156159
Nissan,Altima,2004,1G6DJ8EG1A0664637
Dodge,Dakota,1999,JTDBT4K35A1676745
BMW,X6,2011,YV1952AS4D1213063
Chevrolet,Malibu,1997,1GYS3EEJXCR188938
GMC,Vandura G2500,1995,1HGCR2E35FA674859
Mitsubishi,Challenger,2004,JH4DC54866S288463
Acura,MDX,2008,KMHTC6AD2DU168208
Lincoln,LS,2000,WAUWGAFC5EN737103
Pontiac,Grand Prix,1992,5TDBW5G19AS852400
Mercedes-Benz,W201,1986,5GAKVBED3BJ714379
Plymouth,Neon,1998,WVGEF9BP7ED239480
Mercedes-Benz,SL-Class,2006,WAU3GBFC3DN690578
Mercury,Topaz,1986,3GTXKYEJ5AG865682
Mitsubishi,Precis,1986,3C63D3JL6CG391304
Acura,Integra,1999,WBAEV53443K488460
Kia,Mentor,1997,JTHBW1GG2D2023319
Toyota,Tacoma Xtra,1997,1FTEX1EW5AF498051
Mercury,Grand Marquis,2004,2C3CA6CT2AH157629
Dodge,Ram Van 3500,2003,JTDKDTB37C1592887
Mazda,B2500,2001,1FTNX2A52AE989198
Dodge,Dakota Club,2007,JH4CL968X8C356891
Isuzu,Oasis,1998,1VWAH7A37CC449562
Mercury,Mystique,1996,WBAGN83424D630773
Ford,Mustang,1974,WA1LFBFP9BA309565
Buick,Park Avenue,1996,1D4PU6GX8AW858410
Lexus,LX,2011,WVWGU9AN7BE047033
Kia,Optima,2001,WAULT68E14A319735
Toyota,Camry,2002,JTHBE5C25D5528435
Mitsubishi,Galant,1990,SAJWA0FB3BL881098
Chevrolet,2500,1993,WBAKB8C55AC837798
Ford,Bronco II,1984,1C3CCBAG6EN509794
Audi,Cabriolet,1995,WAUBFAFL3DN709624
Mazda,Navajo,1992,1VWAH7A36DC991611
Mercury,Grand Marquis,2002,3N6CM0KN5EK204252
Jaguar,XK,2007,YV1672MS0B2696339
Oldsmobile,Regency,1997,JTDKN3DP0F3654426
Pontiac,Grand Prix,2007,SAJWA4EC5FM953534
Chevrolet,Corvette,1970,WAUEFBFL0DN072534
Lexus,IS-F,2011,JTMHY7AJ6F4504808
Mitsubishi,Chariot,1988,WAUHFAFL6BN156037
Mercedes-Benz,300SD,1993,1GD22ZCGXDZ421298
GMC,Sierra,2010,WAUKF68E55A128811
Porsche,928,1990,1GYS3DEF7BR923590
Dodge,Grand Caravan,2009,WAUAH94F58N762994
Mitsubishi,Cordia,1985,1G6DU6EV5A0164992
Pontiac,Firebird,1985,5LMJJ2H55AE181381
Ford,Ranger,1988,JN8AF5MR4ET189724
Volkswagen,Golf,1984,WAUDF78E18A853258
Chevrolet,Caprice Classic,1994,2C3CCARG6DH049414
Nissan,Sentra,2009,JH4KB16597C183188
Suzuki,Swift,2006,2C3CA5CG4BH203962
Kia,Sephia,2001,1GYS3EEJ7DR875358
Jaguar,XK,2006,3VW507AT3FM349941
Infiniti,Q,2000,WAUKD78PX9A781086
Lincoln,Continental,1987,JN8AZ2KR4AT469372
Audi,A3,2007,1GYS4AEF9DR020744
Subaru,Baja,2004,TRUTX28N621141145
Ford,F-Series,1996,1N6AA0CC4CN583801
Audi,A4,1999,WAUFFAFL9BA777738
Lamborghini,Countach,1985,WBS3U9C55FJ012542
