?make,model,year,vin
Subaru,Tribeca,2012,3N1CE2CP9FL234588
Mitsubishi,Diamante,1993,1NXBU4EE4AZ944642
Isuzu,Rodeo,1995,WBAYE8C53ED574938
Jeep,Cherokee,2000,JA32X8HW1DU140986
Subaru,SVX,1995,WAUEH74F98N739675
Lexus,SC,1997,5N1CL0MM9EC679690
Dodge,Viper,1992,WBA3T3C55EP353441
GMC,Yukon XL 1500,2006,3GYFNCE3XDS082683
Pontiac,Sunbird,1986,WAUKD98P59A457085
Chevrolet,Avalanche 2500,2006,5TDBK3EHXDS602720
GMC,Sonoma Club Coupe,1993,WA1YD64B42N371636
GMC,Yukon,2008,JM1NC2MF4D0294449
Bugatti,Veyron,2011,WBAEU33484P084993
Pontiac,Sunbird,1983,WAUVT68E75A820090
Pontiac,Vibe,2003,3VWKP7AJ8CM391952
Toyota,Prius,2012,KNAFU6A26C5716018
MINI,Cooper Clubman,2008,WBAEU33403P427035
Lotus,Elan,1993,5GADV23107D133896
Nissan,Sentra,1994,1G6AB5S35F0858904
Chevrolet,Cruze,2013,WAUGN74F09N244462
Chevrolet,Impala,2007,1C3CCBABXDN655294
Mazda,MX-5,1999,5TDBW5G12BS186224
Toyota,4Runner,2011,WA1VFBFL5DA674348
Ferrari,430 Scuderia,2008,1FADP3E24FL415117
Lincoln,Mark VIII,1994,TRUDD38J291093590
Ford,F350,1997,WBANA53504B385199
Ford,E150,2011,WA1VKBFP6AA697132
Mazda,B-Series,2003,WAUGVAFR8CA996350
Toyota,Yaris,2011,1G6AB5RX1D0422928
Mercedes-Benz,M-Class,2002,5NPDH4AE5EH089697
Chevrolet,Astro,2005,WAUHFAFL4DN505358
Infiniti,G37,2011,WAURV78T29A384710
Pontiac,Grand Am,2000,5LMJJ2H58EE880140
MINI,Cooper,2010,1D4RD5GGXBC192141
Suzuki,Esteem,1996,1FAHP2D83FG388227
Chevrolet,Tahoe,2002,YV1672MC4DJ048469
Cadillac,CTS,2009,JH4KA96591C394450
Audi,A4,1996,1GD12ZCG6CF257124
Mercedes-Benz,CLK-Class,2001,3TMJU4GN4AM674541
Toyota,Avalon,1995,1FTEX1CMXDK948564
Volkswagen,New Beetle,1999,KMHTC6AD8CU181060
MINI,Countryman,2012,19UUA76678A713973
BMW,5 Series,1998,1G6DL1E32D0465261
Chevrolet,Tahoe,2008,WBA3C1C58EK240570
GMC,Suburban 2500,1999,4JGDA2EB3EA294124
Mercedes-Benz,300SL,1992,2C4RDGEG2ER713862
Plymouth,Voyager,1995,1VWAS7A38FC005550
Acura,NSX,1998,WAUTFAFH8DN230180
Kia,Sportage,2006,JA32U2FU4FU409623
Infiniti,QX,2002,SCBZK22E81C860320
Geo,Prizm,1996,JN8AE2KP9B9606136
Mazda,Mazda6,2012,3C6TD5CT4CG331191
Ford,Ranger,2005,4A31K3DT6CE968127
Ford,Probe,1996,5J6TF1H56DL460991
Dodge,Ram,2003,3VW467AT7CM586356
Jaguar,XK Series,1998,JH4DC54866S155976
Pontiac,G6,2005,5LMJJ3J51CE372833
Volkswagen,Golf,2012,1G6DG5E54D0708503
Pontiac,Bonneville,2002,JH4DC54823C082563
Ford,Crown Victoria,1995,WAUKD78P47A156986
Nissan,JUKE,2011,19UUB2F56FA561947
Chevrolet,Colorado,2004,1G6DL5EV1A0267453
Pontiac,Aztek,2004,WA1BY74L68D497942
Mercedes-Benz,CL-Class,1999,WAUAFAFL2FA112552
Ford,E-Series,2011,WAUAFAFL6FN689948
Geo,Storm,1993,TRUUT28N041842038
Honda,Civic,2001,1G6KD54YX1U554749
Subaru,XT,1990,JTDJTUD32DD576324
Hyundai,Sonata,2005,KMHGC4DE1BU090494
Audi,A3,2011,WDDGF4HB5CR710138
Jaguar,XK Series,2003,WUARL48H88K883574
Lincoln,MKZ,2012,2T1KU4EE7DC387425
Cadillac,Escalade,2010,5TDBY5G14DS398944
Jeep,Liberty,2008,WVWED7AJ5DW584280
Plymouth,Prowler,2000,3VW8S7ATXFM144785
Ford,E150,2009,1C3CDZAB7EN783001
Subaru,SVX,1993,WAUAFAFH1EN243412
Mitsubishi,Mirage,1989,5UXWX9C57E0496034
Toyota,RAV4,2005,WAUCFAFR9DA560345
